Season,Pos,Player,Salary
2021,QB,Lamar Jackson,83
2021,QB,Kyler Murray,82
2021,QB,Josh Allen,79
2021,QB,Tom Brady,77
2021,QB,Patrick Mahomes,72
2021,RB,Christian McCaffrey,104
2021,RB,Saquon Barkley,97
2021,RB,Derrick Henry,95
2021,RB,Ezekiel Elliott,95
2021,RB,Dalvin Cook,90
2021,WR,Stefon Diggs,86
2021,WR,Davante Adams,67
2021,WR,Julio Jones,67
2021,WR,Tyreek Hill,67
2021,WR,Tyler Lockett,60
2021,TE,Travis Kelce,46
2021,TE,George Kittle,37
2021,TE,Kyle Pitts,35
2021,TE,Mark Andrews,28
2021,TE,Darren Waller,24
2022,QB,Jalen Hurts,100
2022,QB,Matthew Stafford,93
2022,QB,Tom Brady,84
2022,QB,Kyler Murray,83
2022,QB,Lamar Jackson,83
2022,RB,Dalvin Cook,120
2022,RB,Ezekiel Elliott,106
2022,RB,Christian McCaffrey,105
2022,RB,Derrick Henry,105
2022,RB,Saquon Barkley,104
2022,WR,Stefon Diggs,86
2022,WR,Davante Adams,69
2022,WR,Tyreek Hill,67
2022,WR,Allen Lazard,64
2022,WR,Adam Thielen,59
2022,TE,Travis Kelce,46
2022,TE,George Kittle,37
2022,TE,Kyle Pitts,35
2022,TE,Darren Waller,30
2022,TE,Mark Andrews,28
2023,QB,Aaron Rodgers,130
2023,QB,Josh Allen,101
2023,QB,Jalen Hurts,100
2023,QB,Kyler Murray,92
2023,QB,Kirk Cousins,83
2023,RB,Christian McCaffrey,121
2023,RB,Austin Ekeler,108
2023,RB,Saquon Barkley,104
2023,RB,Nick Chubb,102
2023,RB,Joe Mixon,100
2023,WR,Stefon Diggs,87
2023,WR,Davante Adams,75
2023,WR,Cooper Kupp,69
2023,WR,DK Metcalf,69
2023,WR,Amari Cooper,69
2023,TE,Travis Kelce,47
2023,TE,George Kittle,37
2023,TE,Kyle Pitts,35
2023,TE,TJ Hockenson,35
2023,TE,Darren Waller,30
2024,QB,Aaron Rodgers,130
2024,QB,Josh Allen,101
2024,QB,Jalen Hurts,100
2024,QB,Kyler Murray,92
2024,QB,Kirk Cousins,83
2024,RB,Christian McCaffrey,121
2024,RB,Austin Ekeler,108
2024,RB,Saquon Barkley,104
2024,RB,Nick Chubb,102
2024,RB,Joe Mixon,100
2024,WR,Stefon Diggs,87
2024,WR,Davante Adams,75
2024,WR,Cooper Kupp,69
2024,WR,DK Metcalf,69
2024,WR,Amari Cooper,69
2024,TE,Travis Kelce,47
2024,TE,George Kittle,37
2024,TE,Kyle Pitts,35
2024,TE,TJ Hockenson,35
2024,TE,Darren Waller,30
